Day,Time,Setup / Logistics,Setup Who,AV & Sound,AV Who,Bar,Bar Who,Food,Food Who,Logistics Notes,Logistics Who,Front Of House,FOH Who,Trivia / Stage,Trivia Who,Prizes / Games,Prizes Who,Production Notes
FRI,3:00 PM,"Deliveries arrive (tables, chairs)",,AV gear in,Scott,,,,,,,,,,,Position prize & silent-auction tables,,Venue access from 3pm
FRI,4:00 PM,Tables & chairs laid out (per table plan),,PA & speakers positioned,,Bar location set,,,,,,,,,,,,Confirm table count vs tickets sold
FRI,5:00 PM,Decorations & signage up,,Mic + PA test; laptop/projector test,,"Stock fridges, glassware in",,,,,,,,Stage / lectern / MC podium set,,Silent-auction display boards up,,
FRI,6:00 PM,Final floor check; lock valuables,,AV cue-to-cue; test scoreboard,,Stripe Terminal Check,,,,,,,,Question slides loaded & tested,,Raffle table + ticket rolls,,
FRI,7:00 PM,,,,,,,,,,,,,,,Lock prizes in store room,,Final walkthrough
FRI,7:30 PM,,,Power down & secure gear,,Lock bar stock,,,,,,,,,,,,
FRI,8:00 PM,Lock up venue,,Lock up venue,,Lock up venue,,,,,,,,,,,,Friday done — venue secured overnight
SAT,9:00 AM,Re-open venue,,Re-power & re-test AV,Scott,,,,,,,,,,,Lay out prizes / auction items,,
SAT,12:00 PM,,,Sound check with music,,Ice & fresh stock delivery,,Caterer brief / arrival,,,,,,MC run-through,,Price & bid sheets on items,,
SAT,2:00 PM,,,Full AV rehearsal,,Bar setup complete,,Food prep / platters,,,,,,Brief scorers & helpers,,Number the raffle prizes,,
SAT,4:00 PM,,,Walk-in playlist ready,,Float & till ready,,,,,,,,Load all round slides,,Auction QR codes up,,
SAT,5:00 PM,Welcome desk + guest list,,Mic check (live),,,,Grazing platters ready,,,,,,Brief MC + scorers,,Final prize display,,Team dinner / brief
SAT,5:30 PM,,,,,Bar Staff Arrival,,,,,,,,,,,,
SAT,6:00 PM,Door team in position,,Music on; lights set,,Bar open (staff),,Canapés out,,,,DOORS OPEN,,Team huddle; roles confirmed,,Raffle sellers briefed,,Doors prep
SAT,6:30 PM,Welcome desk: check-in & tables,,Walk-in playlist,,Bar service begins,,Grazing stations open,,,,,,,,Raffle tickets on sale,,Doors open
SAT,7:00 PM,,,,,,,,,,,,,MC welcome & housekeeping,,,,Acknowledge sponsors
SAT,7:15 PM,,,Scores slide between rounds,,Service,,,,,,,,Round 1,,,,
SAT,7:45 PM,,,,,Push sales,,Mains / food service,,,,,,Round 2,,Sell raffle tickets,,
SAT,8:15 PM,,,Break music,,Peak service,,Dessert & coffee,,,,,,Half-time break,,Raffle draw #1,,Stretch / mingle
SAT,8:45 PM,,,Scores update,,,,,,,,,,Round 3,,,,
SAT,9:15 PM,,,,,Service,,,,,,,,Round 4,,Silent-auction reminder,,"""Auction closing soon"" announce"
SAT,9:45 PM,,,,,Last-drinks call soon,,,,,,,,Final round / tie-break,,Raffle draw #2 + games,,
SAT,10:00 PM,Begin discreet pack prep,,Interlude music,,Last drinks,,Clear food,,,,,,Scoring / MC stall,,SILENT AUCTION CLOSES — collect bid sheets,,
SAT,10:30 PM,,,Winner slide; applause,,,,,,,,,,Winners announced + prizes,,Hand out prizes; settle auction,,Photos
SAT,11:00 PM,Begin pack down,,Thank-you slide; music,,Bar closes,,,,,,,,MC thanks & wrap,,Winners collect & pay,,
SAT,11:30 PM,Pack down in earnest,,AV pack down,,Cash up,,,,,,,,,,Reconcile raffle / auction $,,
SAT,12:00 AM,Venue cleared & locked,,Gear loaded out,,,,,,,,,,,,Prizes & cash secured,,Saturday midnight — done
